"stand_id";"species";"count";"height_from";"height_to";"age";"min_lif"
5;"PicS";426.5;0.223;0.423;11;0
5;"PicS";426.5;0.3;0.5;11;0
5;"PicS";426.5;0.274;0.474;11;0
5;"PicS";426.5;0.535;0.735;11;0
5;"PicS";426.5;0.09;0.29;11;0
6;"PicS";426.5;0.168;0.368;11;0
6;"PicS";426.5;0.34;0.54;11;0
6;"PicS";426.5;0.313;0.513;11;0
6;"PicS";426.5;0.331;0.531;11;0
6;"PicS";426.5;0.19;0.39;11;0
6;"PicS";426.5;1.086;1.286;11;0
6;"PicS";426.5;0.734;0.934;11;0
6;"PicS";426.5;0.521;0.721;11;0
6;"PicS";426.5;0.69;0.89;11;0
6;"PicS";426.5;0.314;0.514;11;0
6;"PicS";426.5;0.419;0.619;11;0
6;"PicS";426.5;0.425;0.625;11;0
6;"PicS";426.5;0.667;0.867;11;0
6;"PicS";426.5;0.336;0.536;11;0
6;"PicS";426.5;0.572;0.772;11;0
6;"PicS";426.5;0.565;0.765;11;0
6;"PicS";426.5;0.504;0.704;11;0
6;"PicS";426.5;0.654;0.854;11;0
6;"PicS";426.5;0.911;1.111;11;0
6;"PicS";426.5;0.48;0.68;11;0
6;"PicS";426.5;0.223;0.423;11;0
6;"PicS";426.5;0.3;0.5;11;0
6;"PicS";426.5;0.274;0.474;11;0
6;"PicS";426.5;0.535;0.735;11;0
6;"PicS";426.5;0.09;0.29;11;0
7;"PicS";426.5;0.168;0.368;11;0
7;"PicS";426.5;0.34;0.54;11;0
7;"PicS";426.5;0.313;0.513;11;0
7;"PicS";426.5;0.331;0.531;11;0
7;"PicS";426.5;0.19;0.39;11;0
7;"PicS";426.5;1.086;1.286;11;0
7;"PicS";426.5;0.734;0.934;11;0
7;"PicS";426.5;0.521;0.721;11;0
7;"PicS";426.5;0.69;0.89;11;0
7;"PicS";426.5;0.314;0.514;11;0
7;"PicS";426.5;0.419;0.619;11;0
7;"PicS";426.5;0.425;0.625;11;0
7;"PicS";426.5;0.667;0.867;11;0
7;"PicS";426.5;0.336;0.536;11;0
7;"PicS";426.5;0.572;0.772;11;0
7;"PicS";426.5;0.565;0.765;11;0
7;"PicS";426.5;0.504;0.704;11;0
7;"PicS";426.5;0.654;0.854;11;0
7;"PicS";426.5;0.911;1.111;11;0
7;"PicS";426.5;0.48;0.68;11;0
7;"PicS";426.5;0.223;0.423;11;0
7;"PicS";426.5;0.3;0.5;11;0
7;"PicS";426.5;0.274;0.474;11;0
7;"PicS";426.5;0.535;0.735;11;0
7;"PicS";426.5;0.09;0.29;11;0
8;"PicS";426.5;0.168;0.368;11;0
8;"PicS";426.5;0.34;0.54;11;0
8;"PicS";426.5;0.313;0.513;11;0
8;"PicS";426.5;0.331;0.531;11;0
8;"PicS";426.5;0.19;0.39;11;0
8;"PicS";426.5;1.086;1.286;11;0
8;"PicS";426.5;0.734;0.934;11;0
8;"PicS";426.5;0.521;0.721;11;0
8;"PicS";426.5;0.69;0.89;11;0
8;"PicS";426.5;0.314;0.514;11;0
8;"PicS";426.5;0.419;0.619;11;0
8;"PicS";426.5;0.425;0.625;11;0
8;"PicS";426.5;0.667;0.867;11;0
8;"PicS";426.5;0.336;0.536;11;0
8;"PicS";426.5;0.572;0.772;11;0
8;"PicS";426.5;0.565;0.765;11;0
8;"PicS";426.5;0.504;0.704;11;0
8;"PicS";426.5;0.654;0.854;11;0
8;"PicS";426.5;0.911;1.111;11;0
8;"PicS";426.5;0.48;0.68;11;0
8;"PicS";426.5;0.223;0.423;11;0
8;"PicS";426.5;0.3;0.5;11;0
8;"PicS";426.5;0.274;0.474;11;0
8;"PicS";426.5;0.535;0.735;11;0
8;"PicS";426.5;0.09;0.29;11;0
9;"PicS";426.5;0.168;0.368;11;0
9;"PicS";426.5;0.34;0.54;11;0
9;"PicS";426.5;0.313;0.513;11;0
9;"PicS";426.5;0.331;0.531;11;0
9;"PicS";426.5;0.19;0.39;11;0
9;"PicS";426.5;1.086;1.286;11;0
9;"PicS";426.5;0.734;0.934;11;0
9;"PicS";426.5;0.521;0.721;11;0
9;"PicS";426.5;0.69;0.89;11;0
9;"PicS";426.5;0.314;0.514;11;0
9;"PicS";426.5;0.419;0.619;11;0
9;"PicS";426.5;0.425;0.625;11;0
9;"PicS";426.5;0.667;0.867;11;0
9;"PicS";426.5;0.336;0.536;11;0
9;"PicS";426.5;0.572;0.772;11;0
9;"PicS";426.5;0.565;0.765;11;0
9;"PicS";426.5;0.504;0.704;11;0
9;"PicS";426.5;0.654;0.854;11;0
9;"PicS";426.5;0.911;1.111;11;0
9;"PicS";426.5;0.48;0.68;11;0
9;"PicS";426.5;0.223;0.423;11;0
9;"PicS";426.5;0.3;0.5;11;0
9;"PicS";426.5;0.274;0.474;11;0
9;"PicS";426.5;0.535;0.735;11;0
9;"PicS";426.5;0.09;0.29;11;0
10;"PicS";426.5;0.168;0.368;11;0
10;"PicS";426.5;0.34;0.54;11;0
10;"PicS";426.5;0.313;0.513;11;0
10;"PicS";426.5;0.331;0.531;11;0
10;"PicS";426.5;0.19;0.39;11;0
10;"PicS";426.5;1.086;1.286;11;0
10;"PicS";426.5;0.734;0.934;11;0
10;"PicS";426.5;0.521;0.721;11;0
10;"PicS";426.5;0.69;0.89;11;0
10;"PicS";426.5;0.314;0.514;11;0
10;"PicS";426.5;0.419;0.619;11;0
10;"PicS";426.5;0.425;0.625;11;0
10;"PicS";426.5;0.667;0.867;11;0
10;"PicS";426.5;0.336;0.536;11;0
10;"PicS";426.5;0.572;0.772;11;0
10;"PicS";426.5;0.565;0.765;11;0
10;"PicS";426.5;0.504;0.704;11;0
10;"PicS";426.5;0.654;0.854;11;0
10;"PicS";426.5;0.911;1.111;11;0
10;"PicS";426.5;0.48;0.68;11;0
10;"PicS";426.5;0.223;0.423;11;0
10;"PicS";426.5;0.3;0.5;11;0
10;"PicS";426.5;0.274;0.474;11;0
10;"PicS";426.5;0.535;0.735;11;0
10;"PicS";426.5;0.09;0.29;11;0
11;"PicS";426.5;0.168;0.368;11;0
11;"PicS";426.5;0.34;0.54;11;0
11;"PicS";426.5;0.313;0.513;11;0
11;"PicS";426.5;0.331;0.531;11;0
11;"PicS";426.5;0.19;0.39;11;0
11;"PicS";426.5;1.086;1.286;11;0
11;"PicS";426.5;0.734;0.934;11;0
11;"PicS";426.5;0.521;0.721;11;0
11;"PicS";426.5;0.69;0.89;11;0
11;"PicS";426.5;0.314;0.514;11;0
11;"PicS";426.5;0.419;0.619;11;0
11;"PicS";426.5;0.425;0.625;11;0
11;"PicS";426.5;0.667;0.867;11;0
11;"PicS";426.5;0.336;0.536;11;0
11;"PicS";426.5;0.572;0.772;11;0
11;"PicS";426.5;0.565;0.765;11;0
11;"PicS";426.5;0.504;0.704;11;0
11;"PicS";426.5;0.654;0.854;11;0
11;"PicS";426.5;0.911;1.111;11;0
11;"PicS";426.5;0.48;0.68;11;0
11;"PicS";426.5;0.223;0.423;11;0
11;"PicS";426.5;0.3;0.5;11;0
11;"PicS";426.5;0.274;0.474;11;0
11;"PicS";426.5;0.535;0.735;11;0
11;"PicS";426.5;0.09;0.29;11;0
12;"PicS";426.5;0.168;0.368;11;0
12;"PicS";426.5;0.34;0.54;11;0
12;"PicS";426.5;0.313;0.513;11;0
12;"PicS";426.5;0.331;0.531;11;0
12;"PicS";426.5;0.19;0.39;11;0
12;"PicS";426.5;1.086;1.286;11;0
12;"PicS";426.5;0.734;0.934;11;0
12;"PicS";426.5;0.521;0.721;11;0
12;"PicS";426.5;0.69;0.89;11;0
12;"PicS";426.5;0.314;0.514;11;0
12;"PicS";426.5;0.419;0.619;11;0
12;"PicS";426.5;0.425;0.625;11;0
12;"PicS";426.5;0.667;0.867;11;0
12;"PicS";426.5;0.336;0.536;11;0
12;"PicS";426.5;0.572;0.772;11;0
12;"PicS";426.5;0.565;0.765;11;0
12;"PicS";426.5;0.504;0.704;11;0
12;"PicS";426.5;0.654;0.854;11;0
12;"PicS";426.5;0.911;1.111;11;0
12;"PicS";426.5;0.48;0.68;11;0
12;"PicS";426.5;0.223;0.423;11;0
12;"PicS";426.5;0.3;0.5;11;0
12;"PicS";426.5;0.274;0.474;11;0
12;"PicS";426.5;0.535;0.735;11;0
12;"PicS";426.5;0.09;0.29;11;0
13;"PicS";426.5;0.168;0.368;11;0
13;"PicS";426.5;0.34;0.54;11;0
13;"PicS";426.5;0.313;0.513;11;0
13;"PicS";426.5;0.331;0.531;11;0
13;"PicS";426.5;0.19;0.39;11;0
13;"PicS";426.5;1.086;1.286;11;0
13;"PicS";426.5;0.734;0.934;11;0
13;"PicS";426.5;0.521;0.721;11;0
13;"PicS";426.5;0.69;0.89;11;0
13;"PicS";426.5;0.314;0.514;11;0
13;"PicS";426.5;0.419;0.619;11;0
13;"PicS";426.5;0.425;0.625;11;0
13;"PicS";426.5;0.667;0.867;11;0
13;"PicS";426.5;0.336;0.536;11;0
13;"PicS";426.5;0.572;0.772;11;0
13;"PicS";426.5;0.565;0.765;11;0
13;"PicS";426.5;0.504;0.704;11;0
13;"PicS";426.5;0.654;0.854;11;0
13;"PicS";426.5;0.911;1.111;11;0
13;"PicS";426.5;0.48;0.68;11;0
13;"PicS";426.5;0.223;0.423;11;0
13;"PicS";426.5;0.3;0.5;11;0
13;"PicS";426.5;0.274;0.474;11;0
13;"PicS";426.5;0.535;0.735;11;0
13;"PicS";426.5;0.09;0.29;11;0
14;"PicS";426.5;0.168;0.368;11;0
14;"PicS";426.5;0.34;0.54;11;0
14;"PicS";426.5;0.313;0.513;11;0
14;"PicS";426.5;0.331;0.531;11;0
14;"PicS";426.5;0.19;0.39;11;0
14;"PicS";426.5;1.086;1.286;11;0
14;"PicS";426.5;0.734;0.934;11;0
14;"PicS";426.5;0.521;0.721;11;0
14;"PicS";426.5;0.69;0.89;11;0
14;"PicS";426.5;0.314;0.514;11;0
14;"PicS";426.5;0.419;0.619;11;0
14;"PicS";426.5;0.425;0.625;11;0
14;"PicS";426.5;0.667;0.867;11;0
14;"PicS";426.5;0.336;0.536;11;0
14;"PicS";426.5;0.572;0.772;11;0
14;"PicS";426.5;0.565;0.765;11;0
14;"PicS";426.5;0.504;0.704;11;0
14;"PicS";426.5;0.654;0.854;11;0
14;"PicS";426.5;0.911;1.111;11;0
14;"PicS";426.5;0.48;0.68;11;0
14;"PicS";426.5;0.223;0.423;11;0
14;"PicS";426.5;0.3;0.5;11;0
14;"PicS";426.5;0.274;0.474;11;0
14;"PicS";426.5;0.535;0.735;11;0
14;"PicS";426.5;0.09;0.29;11;0
15;"PicS";426.5;0.168;0.368;11;0
15;"PicS";426.5;0.34;0.54;11;0
15;"PicS";426.5;0.313;0.513;11;0
15;"PicS";426.5;0.331;0.531;11;0
15;"PicS";426.5;0.19;0.39;11;0
15;"PicS";426.5;1.086;1.286;11;0
15;"PicS";426.5;0.734;0.934;11;0
15;"PicS";426.5;0.521;0.721;11;0
15;"PicS";426.5;0.69;0.89;11;0
15;"PicS";426.5;0.314;0.514;11;0
15;"PicS";426.5;0.419;0.619;11;0
15;"PicS";426.5;0.425;0.625;11;0
15;"PicS";426.5;0.667;0.867;11;0
15;"PicS";426.5;0.336;0.536;11;0
15;"PicS";426.5;0.572;0.772;11;0
15;"PicS";426.5;0.565;0.765;11;0
15;"PicS";426.5;0.504;0.704;11;0
15;"PicS";426.5;0.654;0.854;11;0
15;"PicS";426.5;0.911;1.111;11;0
15;"PicS";426.5;0.48;0.68;11;0
15;"PicS";426.5;0.223;0.423;11;0
15;"PicS";426.5;0.3;0.5;11;0
15;"PicS";426.5;0.274;0.474;11;0
15;"PicS";426.5;0.535;0.735;11;0
15;"PicS";426.5;0.09;0.29;11;0
16;"PicS";426.5;0.168;0.368;11;0
16;"PicS";426.5;0.34;0.54;11;0
16;"PicS";426.5;0.313;0.513;11;0
16;"PicS";426.5;0.331;0.531;11;0
16;"PicS";426.5;0.19;0.39;11;0
16;"PicS";426.5;1.086;1.286;11;0
16;"PicS";426.5;0.734;0.934;11;0
16;"PicS";426.5;0.521;0.721;11;0
16;"PicS";426.5;0.69;0.89;11;0
16;"PicS";426.5;0.314;0.514;11;0
16;"PicS";426.5;0.419;0.619;11;0
16;"PicS";426.5;0.425;0.625;11;0
16;"PicS";426.5;0.667;0.867;11;0
16;"PicS";426.5;0.336;0.536;11;0
16;"PicS";426.5;0.572;0.772;11;0
16;"PicS";426.5;0.565;0.765;11;0
16;"PicS";426.5;0.504;0.704;11;0
16;"PicS";426.5;0.654;0.854;11;0
16;"PicS";426.5;0.911;1.111;11;0
16;"PicS";426.5;0.48;0.68;11;0
16;"PicS";426.5;0.223;0.423;11;0
16;"PicS";426.5;0.3;0.5;11;0
16;"PicS";426.5;0.274;0.474;11;0
16;"PicS";426.5;0.535;0.735;11;0
16;"PicS";426.5;0.09;0.29;11;0
17;"PicS";426.5;0.168;0.368;11;0
17;"PicS";426.5;0.34;0.54;11;0
17;"PicS";426.5;0.313;0.513;11;0
17;"PicS";426.5;0.331;0.531;11;0
17;"PicS";426.5;0.19;0.39;11;0
17;"PicS";426.5;1.086;1.286;11;0
17;"PicS";426.5;0.734;0.934;11;0
17;"PicS";426.5;0.521;0.721;11;0
17;"PicS";426.5;0.69;0.89;11;0
17;"PicS";426.5;0.314;0.514;11;0
17;"PicS";426.5;0.419;0.619;11;0
17;"PicS";426.5;0.425;0.625;11;0
17;"PicS";426.5;0.667;0.867;11;0
17;"PicS";426.5;0.336;0.536;11;0
17;"PicS";426.5;0.572;0.772;11;0
17;"PicS";426.5;0.565;0.765;11;0
17;"PicS";426.5;0.504;0.704;11;0
17;"PicS";426.5;0.654;0.854;11;0
17;"PicS";426.5;0.911;1.111;11;0
17;"PicS";426.5;0.48;0.68;11;0
17;"PicS";426.5;0.223;0.423;11;0
17;"PicS";426.5;0.3;0.5;11;0
17;"PicS";426.5;0.274;0.474;11;0
17;"PicS";426.5;0.535;0.735;11;0
17;"PicS";426.5;0.09;0.29;11;0
18;"PicS";426.5;0.168;0.368;11;0
18;"PicS";426.5;0.34;0.54;11;0
18;"PicS";426.5;0.313;0.513;11;0
18;"PicS";426.5;0.331;0.531;11;0
18;"PicS";426.5;0.19;0.39;11;0
18;"PicS";426.5;1.086;1.286;11;0
18;"PicS";426.5;0.734;0.934;11;0
18;"PicS";426.5;0.521;0.721;11;0
18;"PicS";426.5;0.69;0.89;11;0
18;"PicS";426.5;0.314;0.514;11;0
18;"PicS";426.5;0.419;0.619;11;0
18;"PicS";426.5;0.425;0.625;11;0
18;"PicS";426.5;0.667;0.867;11;0
18;"PicS";426.5;0.336;0.536;11;0
18;"PicS";426.5;0.572;0.772;11;0
18;"PicS";426.5;0.565;0.765;11;0
18;"PicS";426.5;0.504;0.704;11;0
18;"PicS";426.5;0.654;0.854;11;0
18;"PicS";426.5;0.911;1.111;11;0
18;"PicS";426.5;0.48;0.68;11;0
18;"PicS";426.5;0.223;0.423;11;0
18;"PicS";426.5;0.3;0.5;11;0
18;"PicS";426.5;0.274;0.474;11;0
18;"PicS";426.5;0.535;0.735;11;0
18;"PicS";426.5;0.09;0.29;11;0
19;"PicS";426.5;0.168;0.368;11;0
19;"PicS";426.5;0.34;0.54;11;0
19;"PicS";426.5;0.313;0.513;11;0
19;"PicS";426.5;0.331;0.531;11;0
19;"PicS";426.5;0.19;0.39;11;0
19;"PicS";426.5;1.086;1.286;11;0
19;"PicS";426.5;0.734;0.934;11;0
19;"PicS";426.5;0.521;0.721;11;0
19;"PicS";426.5;0.69;0.89;11;0
19;"PicS";426.5;0.314;0.514;11;0
19;"PicS";426.5;0.419;0.619;11;0
19;"PicS";426.5;0.425;0.625;11;0
19;"PicS";426.5;0.667;0.867;11;0
19;"PicS";426.5;0.336;0.536;11;0
19;"PicS";426.5;0.572;0.772;11;0
19;"PicS";426.5;0.565;0.765;11;0
19;"PicS";426.5;0.504;0.704;11;0
19;"PicS";426.5;0.654;0.854;11;0
19;"PicS";426.5;0.911;1.111;11;0
19;"PicS";426.5;0.48;0.68;11;0
19;"PicS";426.5;0.223;0.423;11;0
19;"PicS";426.5;0.3;0.5;11;0
19;"PicS";426.5;0.274;0.474;11;0
19;"PicS";426.5;0.535;0.735;11;0
19;"PicS";426.5;0.09;0.29;11;0
20;"PicS";426.5;0.168;0.368;11;0
20;"PicS";426.5;0.34;0.54;11;0
20;"PicS";426.5;0.313;0.513;11;0
20;"PicS";426.5;0.331;0.531;11;0
20;"PicS";426.5;0.19;0.39;11;0
20;"PicS";426.5;1.086;1.286;11;0
20;"PicS";426.5;0.734;0.934;11;0
20;"PicS";426.5;0.521;0.721;11;0
20;"PicS";426.5;0.69;0.89;11;0
20;"PicS";426.5;0.314;0.514;11;0
20;"PicS";426.5;0.419;0.619;11;0
20;"PicS";426.5;0.425;0.625;11;0
20;"PicS";426.5;0.667;0.867;11;0
20;"PicS";426.5;0.336;0.536;11;0
20;"PicS";426.5;0.572;0.772;11;0
20;"PicS";426.5;0.565;0.765;11;0
20;"PicS";426.5;0.504;0.704;11;0
20;"PicS";426.5;0.654;0.854;11;0
20;"PicS";426.5;0.911;1.111;11;0
20;"PicS";426.5;0.48;0.68;11;0
20;"PicS";426.5;0.223;0.423;11;0
20;"PicS";426.5;0.3;0.5;11;0
20;"PicS";426.5;0.274;0.474;11;0
20;"PicS";426.5;0.535;0.735;11;0
20;"PicS";426.5;0.09;0.29;11;0
21;"PicS";426.5;0.168;0.368;11;0
21;"PicS";426.5;0.34;0.54;11;0
21;"PicS";426.5;0.313;0.513;11;0
21;"PicS";426.5;0.331;0.531;11;0
21;"PicS";426.5;0.19;0.39;11;0
21;"PicS";426.5;1.086;1.286;11;0
21;"PicS";426.5;0.734;0.934;11;0
21;"PicS";426.5;0.521;0.721;11;0
21;"PicS";426.5;0.69;0.89;11;0
21;"PicS";426.5;0.314;0.514;11;0
21;"PicS";426.5;0.419;0.619;11;0
21;"PicS";426.5;0.425;0.625;11;0
21;"PicS";426.5;0.667;0.867;11;0
21;"PicS";426.5;0.336;0.536;11;0
21;"PicS";426.5;0.572;0.772;11;0
21;"PicS";426.5;0.565;0.765;11;0
21;"PicS";426.5;0.504;0.704;11;0
21;"PicS";426.5;0.654;0.854;11;0
21;"PicS";426.5;0.911;1.111;11;0
21;"PicS";426.5;0.48;0.68;11;0
21;"PicS";426.5;0.223;0.423;11;0
21;"PicS";426.5;0.3;0.5;11;0
21;"PicS";426.5;0.274;0.474;11;0
21;"PicS";426.5;0.535;0.735;11;0
21;"PicS";426.5;0.09;0.29;11;0
22;"PicS";426.5;0.168;0.368;11;0
22;"PicS";426.5;0.34;0.54;11;0
22;"PicS";426.5;0.313;0.513;11;0
22;"PicS";426.5;0.331;0.531;11;0
22;"PicS";426.5;0.19;0.39;11;0
22;"PicS";426.5;1.086;1.286;11;0
22;"PicS";426.5;0.734;0.934;11;0
22;"PicS";426.5;0.521;0.721;11;0
22;"PicS";426.5;0.69;0.89;11;0
22;"PicS";426.5;0.314;0.514;11;0
22;"PicS";426.5;0.419;0.619;11;0
22;"PicS";426.5;0.425;0.625;11;0
22;"PicS";426.5;0.667;0.867;11;0
22;"PicS";426.5;0.336;0.536;11;0
22;"PicS";426.5;0.572;0.772;11;0
22;"PicS";426.5;0.565;0.765;11;0
22;"PicS";426.5;0.504;0.704;11;0
22;"PicS";426.5;0.654;0.854;11;0
22;"PicS";426.5;0.911;1.111;11;0
22;"PicS";426.5;0.48;0.68;11;0
22;"PicS";426.5;0.223;0.423;11;0
22;"PicS";426.5;0.3;0.5;11;0
22;"PicS";426.5;0.274;0.474;11;0
22;"PicS";426.5;0.535;0.735;11;0
22;"PicS";426.5;0.09;0.29;11;0
23;"PicS";426.5;0.168;0.368;11;0
23;"PicS";426.5;0.34;0.54;11;0
23;"PicS";426.5;0.313;0.513;11;0
23;"PicS";426.5;0.331;0.531;11;0
23;"PicS";426.5;0.19;0.39;11;0
23;"PicS";426.5;1.086;1.286;11;0
23;"PicS";426.5;0.734;0.934;11;0
23;"PicS";426.5;0.521;0.721;11;0
23;"PicS";426.5;0.69;0.89;11;0
23;"PicS";426.5;0.314;0.514;11;0
23;"PicS";426.5;0.419;0.619;11;0
23;"PicS";426.5;0.425;0.625;11;0
23;"PicS";426.5;0.667;0.867;11;0
23;"PicS";426.5;0.336;0.536;11;0
23;"PicS";426.5;0.572;0.772;11;0
23;"PicS";426.5;0.565;0.765;11;0
23;"PicS";426.5;0.504;0.704;11;0
23;"PicS";426.5;0.654;0.854;11;0
23;"PicS";426.5;0.911;1.111;11;0
23;"PicS";426.5;0.48;0.68;11;0
23;"PicS";426.5;0.223;0.423;11;0
23;"PicS";426.5;0.3;0.5;11;0
23;"PicS";426.5;0.274;0.474;11;0
23;"PicS";426.5;0.535;0.735;11;0
23;"PicS";426.5;0.09;0.29;11;0
24;"PicS";426.5;0.168;0.368;11;0
24;"PicS";426.5;0.34;0.54;11;0
24;"PicS";426.5;0.313;0.513;11;0
24;"PicS";426.5;0.331;0.531;11;0
24;"PicS";426.5;0.19;0.39;11;0
24;"PicS";426.5;1.086;1.286;11;0
24;"PicS";426.5;0.734;0.934;11;0
24;"PicS";426.5;0.521;0.721;11;0
24;"PicS";426.5;0.69;0.89;11;0
24;"PicS";426.5;0.314;0.514;11;0
24;"PicS";426.5;0.419;0.619;11;0
24;"PicS";426.5;0.425;0.625;11;0
24;"PicS";426.5;0.667;0.867;11;0
24;"PicS";426.5;0.336;0.536;11;0
24;"PicS";426.5;0.572;0.772;11;0
24;"PicS";426.5;0.565;0.765;11;0
24;"PicS";426.5;0.504;0.704;11;0
24;"PicS";426.5;0.654;0.854;11;0
24;"PicS";426.5;0.911;1.111;11;0
24;"PicS";426.5;0.48;0.68;11;0
24;"PicS";426.5;0.223;0.423;11;0
24;"PicS";426.5;0.3;0.5;11;0
24;"PicS";426.5;0.274;0.474;11;0
24;"PicS";426.5;0.535;0.735;11;0
24;"PicS";426.5;0.09;0.29;11;0
25;"PicS";426.5;0.168;0.368;11;0
25;"PicS";426.5;0.34;0.54;11;0
25;"PicS";426.5;0.313;0.513;11;0
25;"PicS";426.5;0.331;0.531;11;0
25;"PicS";426.5;0.19;0.39;11;0
